"","lat","lon","Complaint.Type","Identifier","Severity"
"13581",43.0089929,-76.144198,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","072.-14-14.0",13
"13582",43.075007,-76.159997,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","003.-13-15.0",13
"13586",43.068674,-76.149016,"Property Maintenance-Ext; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","009.-10-02.0",20
"13591",43.041449,-76.114785,"Property Maintenance-Ext; Property Maintenance-Ext","045.-03-02.0",12
"13593",43.045605,-76.174662,"Property Maintenance-Ext","099.-03-10.0",11
"13597",41.5010283,-81.6813845,"Property Maintenance-Ext; Property Maintenance-Ext","045.-11-11.0",12
"13598",43.046482,-76.177499,"Property Maintenance-Ext; Property Maintenance-Ext","099.-01-62.0",12
"13600",43.028661,-76.157413,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","086.-12-03.0",13
"13603",43.007346,-76.144094,"Property Maintenance-Ext; Property Maintenance-Ext","072.-10-19.0",12
"13629",43.0229519,-76.1458229,"Property Maintenance-Ext; Property Maintenance-Ext","077.-02-24.0",12
"13644",43.046863,-76.177411,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","099.-01-14.0",13
"13650",39.642837,-75.608867,"Property Maintenance-Ext; Property Maintenance-Ext","086.-24-30.0",12
"13652",43.035435,-76.179192,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","091.-11-03.0",14
"13674",43.015313,-76.149418,"Property Maintenance-Ext; Property Maintenance-Ext","075.-09-06.0",12
"13680",40.6305593,-80.441004,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","076.-19-30.0",13
"13760",43.050668,-76.167367,"Property Maintenance-Ext","105.-08-18.0",11
"13761",43.027589,-76.15018,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","084.-27-09.0",14
"13770",43.0275869,-76.158528,"Property Maintenance-Ext; Property Maintenance-Ext","074.-06-07.0",12
"13773",43.041618,-76.1566579,"Property Maintenance-Ext; Property Maintenance-Ext","096.-11-03.0",12
"13780",43.1860007,-95.8443236,"Building W/O Permit","009.-25-10.0",11
"13810",43.01762,-76.153044,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","075.-05-09.0",13
"13833",43.0281,-76.14818,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","084.-21-03.0",13
"13874",43.071935,-76.142466,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","010.-04-18.0",13
"13888",43.037849,-76.178895,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","091.-04-10.0",13
"13891",43.065796,-76.150499,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","009.-05-42.0",13
"13895",43.031488,-76.164283,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","086.-25-24.0",13
"13899",43.006574,-76.139583,"Property Maintenance-Ext","071.-04-12.0",11
"13908",43.016649,-76.152994,"Complaint Reqst - General; Complaint Reqst - General; Complaint Reqst - General; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Ext; Property Maintenance-Ext","075.-12-02.0",17
"13921",40.2052278,-111.6267325,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","077.-07-14.0",13
"13928",43.050291,-76.1711739,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","109.-04-35.0",13
"13935",43.057477,-76.134161,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","018.-02-20.0",13
"13940",43.022169,-76.142814,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","077.-13-04.0",14
"13985",43.05044,-76.171128,"Property Maintenance-Ext","109.-04-33.0",11
"14039",43.030449,-76.157723,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","086.-14-03.0",14
"14048",43.067163,-76.141452,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","010.-29-16.1",13
"14090",43.035415,-76.166475,"Property Maintenance-Ext","092.-11-24.0",11
"14098",43.054245,-76.130847,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","029.-16-14.0",14
"14105",43.0481221,-76.1474244,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","103.-21-11.0",13
"14112",43.0548555,-76.1943142,"Building W/O Permit; Property Maintenance-Ext; Property Maintenance-Ext","112.-13-17.0",13
"14115",42.004733,-76.541066,"Property Maintenance-Ext; Zoning Violations; Zoning Violations; Zoning Violations","112.-03-04.0",14
"14121",43.041285,-76.1653986,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","097.-05-16.0",14
"14128",43.045086,-76.185466,"Property Maintenance-Ext","110.-13-75.0",11
"14141",43.060956,-76.1406389,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","016.-11-09.0",13
"14144",43.029455,-76.156035,"Property Maintenance-Ext; Property Maintenance-Ext","086.-12-14.0",12
"14166",43.0463695,-76.1507084,"Property Maintenance-Ext; Property Maintenance-Ext; Property Maintenance-Ext","102.-14-10.0",13
"14183",43.053308,-76.193195,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","112.-13-30.0",20
"14193",43.069074,-76.143792,"Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Bed Bugs; Bed Bugs; Bed Bugs; Bed Bugs; Bed Bugs; Bed Bugs; Bed Bugs; Bed Bugs; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int; Property Maintenance-Int","010.-18-20.0",47
